timestamp,cpu_sy_percent,memory_used_MB
2025-09-12 17:06:04,0.0,2052.02
2025-09-12 17:06:05,43.2,2045.03
2025-09-12 17:06:06,42.8,2042.86
2025-09-12 17:06:07,41.7,2050.78
2025-09-12 17:06:08,43.4,2049.63
2025-09-12 17:06:09,42.6,2049.71
2025-09-12 17:06:10,34.7,2052.94
2025-09-12 17:06:11,2.0,2055.33
2025-09-12 17:06:12,0.5,2055.39
2025-09-12 17:06:13,1.0,2055.63
2025-09-12 17:06:14,0.5,2056.09
