learning_rate,max_depth,n_estimators,num_leaves,Accuracy,AUC,Precision,Recall,F1,ModelSize_KB
0.15,7,100,18,0.9951087857868441,0.999516552907587,0.9888540935372674,0.9815067098855327,0.9851667026857109,209.03515625
0.15,6,90,28,0.9950880548126957,0.9997369211414604,0.988798700018143,0.9814362443431829,0.9851037160157646,280.25390625
0.12,7,120,18,0.9950893504985799,0.9995810643393565,0.9892001136830139,0.9810369396032007,0.9851016156295452,250.64453125
0.12,6,120,24,0.9950634367808944,0.9997615669044384,0.987343663966019,0.9827672601431233,0.9850501467518403,324.91015625
0.15,5,110,28,0.9950750979538528,0.9997393287867911,0.9901356642803465,0.9800034449820705,0.9850435001593628,303.03515625
0.15,7,90,18,0.9950647324667786,0.9994906121588508,0.9886660304289872,0.9814284148384773,0.9850339280732705,188.83203125
0.12,6,110,28,0.99506214109501,0.9997189768033553,0.9900263380604747,0.9800347630008925,0.9850052133540556,341.36328125
0.15,7,70,24,0.9950556626655886,0.9997291992868222,0.9890820386510042,0.9809508150514399,0.9849996462180712,191.48828125
0.15,5,110,20,0.9950543669797044,0.9997429118242531,0.9890665087823169,0.9809586445561453,0.984995892247157,248.64453125
0.15,5,120,22,0.9950465928643987,0.9997456668113914,0.9900098872849515,0.9799564679538373,0.98495752458223,290.39453125
0.1,7,100,30,0.9950284532620188,0.9997324165656903,0.9867282713750265,0.9831822238925165,0.9849520560032943,334.84765625
0.12,6,100,30,0.9950427058067458,0.9997394599288979,0.98987790219523,0.9800660810197147,0.9849475564368277,329.44140625
0.12,7,90,22,0.9950323403196716,0.9997272057882162,0.988941510774331,0.9809508150514399,0.9849299561341446,226.67578125
0.15,7,90,22,0.9950206791467131,0.9996790665391971,0.9866664571433061,0.9831978829019277,0.9849291162571815,225.91015625
0.15,5,100,30,0.9950336360055559,0.9997365299883669,0.9899703381451453,0.9799173204303095,0.9849181772753564,281.95703125
0.12,7,90,24,0.9950310446337873,0.99973273883514,0.9895674441028397,0.9803087956655862,0.9849163615196127,245.25390625
0.1,7,100,26,0.9950232705184817,0.9997341410394173,0.988470486179567,0.9813736083055385,0.9849092630644293,293.34765625
0.15,5,110,26,0.9950258618902502,0.9997422266164698,0.9899001083543583,0.9799408089444261,0.9848952820871973,294.44140625
0.12,7,100,18,0.9950206791467131,0.9997128309515392,0.9896364455616952,0.9801756940855921,0.984883350444295,209.70703125
0.1,7,110,22,0.9950167920890602,0.9997318622325755,0.9889018691588785,0.9808960085185011,0.9848826697063795,276.39453125
0.1,6,120,30,0.9950193834608289,0.9997320935547067,0.9898687124327744,0.9799329794397207,0.9848757878833185,395.22265625
0.15,5,110,22,0.9950142007172917,0.999735554822565,0.9895663721011113,0.9802070121044143,0.9848644566465803,265.87890625
0.15,6,90,20,0.9950142007172917,0.9997400283572366,0.9895741115467307,0.9801991825997087,0.984864337578766,207.33203125
0.1,7,120,20,0.9950103136596389,0.9997348166923529,0.9888242583048547,0.9809351560420287,0.9848639088139923,276.33203125
0.12,6,110,22,0.9950103136596389,0.9997346985696376,0.9888859946166536,0.9808725200043845,0.9848629568922483,275.48828125
0.12,6,120,18,0.9950077222878703,0.9997341732535981,0.9886929419655186,0.9810525986126117,0.9848579524241817,250.39453125
0.15,6,120,14,0.9950103136596389,0.9997008416357366,0.9894423239531227,0.9803087956655862,0.9848543842054549,199.97265625
0.15,7,80,20,0.9949895826854904,0.9996956387233853,0.9853518609955092,0.9843566495983465,0.9848540038775631,184.98828125
0.15,7,90,20,0.9949792171984162,0.9995685582898586,0.9853281187544576,0.9843175020748187,0.9848225511431067,207.39453125
0.15,6,80,24,0.9949960611149118,0.9997034696625334,0.9896813473551039,0.9799799564679539,0.9848067602442249,217.64453125
0.15,7,90,16,0.9949843999419533,0.9997308318528833,0.988452346208757,0.9811543821737837,0.9847898436548382,170.22265625
0.15,7,120,20,0.9949649646536891,0.9994773851255944,0.9849771288927878,0.9845915347395123,0.9847842940711214,274.59765625
0.15,6,80,26,0.9949882869996061,0.9997278899201675,0.9897350731514433,0.9798781729067819,0.984781958673654,233.39453125
0.15,6,100,18,0.9949714430831105,0.9997245215750254,0.9868078649653687,0.9827516011337123,0.9847755561570538,209.14453125
0.15,7,60,28,0.9949792171984162,0.9997320851060818,0.988421160565691,0.9811543821737837,0.9847743659260132,189.45703125
0.15,6,100,16,0.9949779215125318,0.9997170103403487,0.9886986031094626,0.980864690499679,0.9847660671613634,188.20703125
0.15,6,80,28,0.9949818085701847,0.9996737014314839,0.9895488287889448,0.9800269334961871,0.9847648643864445,249.86328125
0.15,5,100,28,0.9949792171984162,0.9997271307595655,0.9901221278582906,0.9794318911385665,0.9847479975596796,276.55078125
0.12,6,110,26,0.9949623732819205,0.9997493488983425,0.989702462867176,0.9797529008314934,0.9847025495750709,319.66015625
0.1,7,100,22,0.9949520077948463,0.9997167311102603,0.9886119704526801,0.9807942249573292,0.9846875810622794,251.69140625
0.15,6,110,14,0.9949545991666149,0.9996998540401237,0.9891835089992573,0.9802305006185309,0.984686654501982,183.76953125
0.12,7,120,16,0.9949520077948463,0.9997324306973829,0.9892451875968012,0.9801522055714755,0.9846777048019821,225.81640625
0.12,7,80,26,0.9949481207371934,0.9997252211272364,0.9889976226018687,0.980379261207936,0.984669584124625,234.89453125
0.15,7,80,18,0.9949429379936563,0.9997030719511191,0.9879797271201003,0.9813814378102441,0.9846695287736016,168.39453125
0.15,6,80,30,0.9949442336795405,0.9997483357805887,0.9890050867271176,0.9803479431891139,0.9846574868475894,266.36328125
0.1,6,120,24,0.9949312768206978,0.9997147541138243,0.9892902307935504,0.9799799564679539,0.9846130851708215,324.72265625
0.12,7,100,20,0.9949286854489292,0.999665831440239,0.9890581301647996,0.9801991825997087,0.9846087298466378,230.44140625
0.12,6,120,20,0.9949260940771607,0.9997466124738662,0.988633313862621,0.9806141463491019,0.9846074022829471,275.22265625
0.12,7,80,28,0.9949260940771607,0.9997330700151539,0.9886873184286977,0.9805593398161633,0.98460655518605,251.41015625
0.15,7,100,20,0.9949027717312436,0.9993305674342188,0.9847284004761606,0.9844662626642239,0.9845973141223915,229.81640625
0.15,6,80,22,0.9949260940771607,0.9997108288949018,0.9894988217804558,0.9797372418220823,0.9845938375350141,201.16015625
0.15,5,120,18,0.9949222070195078,0.999733212766522,0.9895217986129233,0.9796902647938491,0.9845814891315039,248.39453125
0.1,7,110,20,0.9949118415324336,0.999710535089416,0.9882083842725875,0.9809586445561453,0.9845701689933872,253.66015625
0.15,7,110,20,0.9948911105582852,0.9993746828342187,0.9845375756484432,0.9845915347395123,0.9845645544546704,252.20703125
0.1,6,110,30,0.9949157285900865,0.9997108010083617,0.9893820562284558,0.9797920483550211,0.984563700306051,362.73828125
0.15,7,60,30,0.9949105458465494,0.9997115320696887,0.9884086102957422,0.980747247929096,0.9845630251440339,201.53515625
0.12,7,110,16,0.9949144329042021,0.9997175372488629,0.9891808590508555,0.9799877859726593,0.984562863559312,207.44140625
0.12,6,110,24,0.9949144329042021,0.9997447119769924,0.9893432838180769,0.9798233663738432,0.9845603131207836,298.12890625
0.12,6,120,16,0.9949144329042021,0.9997219237870116,0.989521301414822,0.9796432877656159,0.9845575188162207,225.41015625
0.1,6,120,28,0.9949079544747808,0.9997326528719023,0.9893041787221932,0.9798233663738432,0.9845409487845174,374.06640625
0.12,6,110,20,0.9949040674171279,0.9997312686528632,0.9893813006523028,0.9797215828126713,0.9845277481638257,252.67578125
0.15,7,60,26,0.9949001803594751,0.9997050605811291,0.9889712272274803,0.9801130580479479,0.9845222178529296,176.86328125
0.15,5,100,26,0.9949027717312436,0.9997300763634823,0.9896057461080876,0.9794866976715053,0.9845202212970906,268.76953125
0.1,6,110,24,0.9948988846735908,0.9996963465357984,0.9890329564399776,0.9800425925055981,0.984517250465033,297.92578125
0.12,7,110,18,0.9948924062441694,0.9994127994857241,0.9877914216806696,0.9812639952396611,0.9845168892380204,230.16015625
0.12,6,100,22,0.9949001803594751,0.9997053951223582,0.9893655713336917,0.9797137533079657,0.9845160072069804,250.81640625
0.08,7,120,24,0.9948975889877065,0.9997169049695867,0.9888938039116559,0.9801756940855921,0.9845154491620727,327.33203125
0.12,5,120,26,0.9948937019300537,0.9997131205995723,0.9888163142805241,0.9802305006185309,0.984504688697977,320.80078125
0.12,5,120,28,0.9948962933018223,0.9997171080830359,0.9893343664265779,0.9797215828126713,0.9845045101749389,335.59765625
0.1,6,120,22,0.994894997615938,0.999726109855705,0.9894968284851073,0.9795493337091495,0.9844979540446962,300.44140625
0.1,6,120,26,0.9948937019300537,0.9997226317149096,0.9893574122539989,0.9796824352891436,0.9844961545270363,349.34765625
0.12,6,100,26,0.9948924062441694,0.9997323448557082,0.9894734344600686,0.9795571632138551,0.9844903290788625,291.30078125
0.1,7,100,24,0.9948885191865166,0.9997273536209157,0.9890863686294344,0.9799251499350151,0.9844844470839019,272.76953125
0.12,5,120,30,0.994885927814748,0.9997163321832163,0.989186711036985,0.9798077073644321,0.9844748714761655,335.69140625
0.12,7,90,18,0.9948820407570952,0.9996920040763742,0.9890318298195151,0.9799408089444261,0.9844653321272663,189.19140625
0.08,7,120,30,0.9948768580135581,0.9997257393379217,0.9881673608481636,0.9807863954526237,0.9844630437345279,401.95703125
0.15,5,90,30,0.9948820407570952,0.9997100732474691,0.9894727684009048,0.9794945271762109,0.9844583641542989,252.95703125
0.15,6,80,20,0.9948755623276738,0.9997174904045814,0.9888227999083706,0.9801130580479479,0.9844486648657788,184.75390625
0.08,7,120,26,0.9948755623276738,0.9997153459551864,0.9889000371315484,0.9800347630008925,0.9844474417909626,352.20703125
0.1,7,100,28,0.9948729709559052,0.9997361805617547,0.9886990926105806,0.9802226711138253,0.984442635905783,313.94140625
0.1,7,120,18,0.9948677882123681,0.999721822561546,0.9886292748793835,0.980261818637353,0.9844277666170002,251.28515625
0.15,5,120,16,0.9948651968405995,0.9997297109452646,0.988513369490562,0.9803636021985249,0.9844216186893404,224.48828125
0.12,6,100,20,0.9948639011547152,0.999718790891063,0.9891388550740676,0.9797215828126713,0.9844076970278648,230.08203125
0.1,6,110,28,0.994862605468831,0.9997138967546741,0.9892702674921523,0.9795806517279717,0.9844016160948571,343.33203125
0.15,6,70,28,0.9948613097829467,0.9997083001789542,0.9892933957489879,0.9795493337091495,0.9843972524057186,219.47265625
0.15,5,100,20,0.9948587184111781,0.9997206724180387,0.9891462450592885,0.9796824352891436,0.9843915947478975,226.33203125
0.15,5,100,22,0.994853535667641,0.999720043627619,0.989169104277018,0.9796276287562049,0.984375245857788,243.56640625
0.12,7,120,14,0.9948496486099881,0.9997129578328647,0.989269419030373,0.9795023566809163,0.98436166069328,200.30078125
0.15,6,70,30,0.9948418744946825,0.9997304066864773,0.9886429152483474,0.9800895695338313,0.9843476619786977,233.50390625
0.12,7,80,24,0.9948405788087982,0.9996989435093405,0.9888590391908976,0.9798625138973709,0.9843402206998529,218.47265625
0.1,7,90,26,0.9948392831229139,0.9997137094018607,0.9887044921365887,0.9800112744867759,0.9843386900806461,264.39453125
0.12,7,90,20,0.9948379874370297,0.9996347278280642,0.9887275657229525,0.9799799564679539,0.9843343268557767,207.83203125
0.15,7,60,24,0.9948341003793768,0.9996940532933567,0.9889899700444985,0.9796902647938491,0.9843181523188446,164.69140625
0.15,5,110,18,0.9948341003793768,0.9997230139817517,0.9895006685708408,0.979173517483284,0.9843100062571081,228.01953125
0.15,7,70,20,0.9948211435205341,0.9996899101728525,0.9873864504794094,0.9812405067255445,0.9843038849553699,162.51953125
0.15,6,70,26,0.9948289176358397,0.9996989968511615,0.988935517778252,0.9797137533079657,0.9843030367389962,204.91015625
0.1,6,110,22,0.9948289176358397,0.999702936177464,0.9892216326498335,0.9794240616338611,0.9842984668284949,275.72265625
0.15,6,70,24,0.9948276219499554,0.9997009556617807,0.9889972651248083,0.9796432877656159,0.9842980537768058,190.92578125
0.12,5,110,28,0.9948250305781868,0.9996974770225773,0.9890434782608696,0.9795806517279717,0.9842893219312254,306.30078125
0.12,5,120,16,0.9948237348923026,0.9996933043318861,0.9890743214932287,0.9795415042044441,0.9842848320109514,224.76953125
0.12,6,110,18,0.9948224392064183,0.9997184200085908,0.988826903930338,0.9797842188503155,0.9842847929022007,229.87890625
0.12,7,70,30,0.9948185521487655,0.9996955301494395,0.9881477506766514,0.9804497267502857,0.9842836874972981,235.11328125
0.12,6,90,26,0.9948224392064183,0.9997139507103879,0.9889582674675941,0.9796511172703215,0.9842826912941214,262.64453125
0.12,7,80,22,0.994815960776997,0.9997093058996027,0.9882246162345606,0.9803557726938193,0.9842744677255165,201.91015625
0.12,6,90,22,0.9948198478346497,0.9997003387602171,0.988973552334129,0.9796197992514993,0.9842744536572319,226.12890625
0.1,7,90,30,0.9948146650911126,0.9997146884880675,0.9883632803865222,0.9802070121044143,0.9842682495381108,301.75390625
0.15,5,100,24,0.9948133694052284,0.9997332017346846,0.9884325971780275,0.9801287170573589,0.9842631432042175,258.81640625
0.1,6,120,20,0.9948133694052284,0.9997048341579846,0.9886949858193568,0.9798625138973709,0.9842589352072134,275.66015625
0.15,7,70,18,0.994806890975807,0.9996856170011248,0.9875313293084695,0.9810056215843785,0.9842576590730557,147.95703125
0.08,7,120,28,0.9948081866616912,0.9997287114790299,0.987969865499152,0.9805671693208687,0.9842545984667194,377.23828125
0.15,5,100,16,0.9948120737193441,0.9996928992233663,0.9888571022143546,0.9796902647938491,0.9842523401242822,187.75390625
0.15,7,80,22,0.994806890975807,0.9996236489032473,0.9881006864988559,0.9804262382361691,0.9842485026645497,201.26953125
0.12,6,90,30,0.9948120737193441,0.9997081915624615,0.9893985664330132,0.9791421994644619,0.9842436644105147,296.66015625
0.12,6,110,16,0.994806890975807,0.9997044804827476,0.9888799317147192,0.9796354582609104,0.98423598820059,206.95703125
0.12,7,70,28,0.9948017082322699,0.9997064879550144,0.9882081800817692,0.9802853071514696,0.9842307994654508,220.44140625
0.1,7,90,28,0.9948017082322699,0.9997159949615242,0.9882698410192451,0.9802226711138253,0.984229807707426,282.92578125
0.12,6,90,28,0.9948042996040384,0.9997081654872093,0.9889415856454036,0.9795571632138551,0.9842270052550426,280.45703125
0.08,7,110,30,0.994797821174617,0.9997002280771541,0.9877459291093325,0.9807315889196849,0.9842262618008384,368.75390625
0.15,6,70,20,0.9948017082322699,0.9996924243681059,0.9886324138148955,0.9798546843926653,0.9842239786087845,162.26953125
0.1,6,100,24,0.994797821174617,0.9996800435527556,0.9886939139915777,0.9797685598409045,0.984211002355569,271.22265625
0.08,7,110,26,0.9947939341169642,0.9996976161696042,0.9885778381623432,0.9798625138973709,0.9842008823598801,323.17578125
0.15,6,60,28,0.9947939341169642,0.9996720295337315,0.989126480775618,0.9793066190632781,0.9841920558982752,188.86328125
0.15,5,90,28,0.9947939341169642,0.9996891862958959,0.9892425488831235,0.9791891764926951,0.9841901898908502,247.33203125
0.15,5,110,16,0.9947874556875428,0.9997188505784697,0.9881069819197714,0.9803009661608807,0.9841884960795488,206.16015625
0.15,7,80,16,0.9947874556875428,0.9996995129041046,0.9884461994077,0.9799564679538373,0.9841830255517069,151.89453125
0.1,7,90,22,0.9947822729440057,0.9996904866729707,0.9877524625200117,0.9806298053585131,0.9841782471525167,226.95703125
0.15,5,120,14,0.9947874556875428,0.9996942586070955,0.9890873721917776,0.9793066190632781,0.9841726958348579,199.51953125
0.12,5,120,18,0.9947835686298899,0.9996888700802808,0.9887933487181109,0.9795806517279717,0.9841654408583542,249.44140625
0.12,7,100,16,0.9947783858863528,0.9996844077962599,0.9885844748858448,0.9797607303361989,0.9841528249653958,189.01953125
