Model,Accuracy,Precision,Recall,F1,Train Time (s),Infer Time (s),Model Size (KB)
DT,0.994580145946058,0.9848279109925042,0.9823836144125523,0.9836042441607513,3.2340006828308105,0.05687673330307007,1402.0400390625
XGBoost,0.9939193461450754,0.9803906256101085,0.9829160207325285,0.9816516989674438,3.321009397506714,0.30803518056869506,329.7109375
LightGBM,0.9940035657275536,0.982335700067397,0.9814127558290663,0.9818740110604565,3.9920079708099365,0.6349281549453736,348.94140625
